Scenario,Model,ExoMode,WindowDay,HorizonIdx,ForecastDay,Truth_S,Projected_S,AbsError_S,Truth_I,Projected_I,AbsError_I
A3,ARX,I,119,11,130,92188.4706417432,92827.581785422,639.11114367882,646.0563020111,779.886240053014,133.829938041914
A3,ARX,I,119,12,131,92065.4685824467,92744.0916611233,678.62307867661,659.775543664627,820.358045019081,160.582501354454
A3,ARX,I,119,13,132,91936.5850182061,92648.635823171,712.050804964965,675.601541702481,867.082248469248,191.480706766767
A3,ARX,I,119,14,133,91801.3074371408,92539.4897018891,738.18226474832,693.651780052491,920.899672863866,227.247892811375
A3,ARX,I,126,1,127,92526.9510140318,92598.0966545687,71.1456405369681,616.431080245559,629.653043763857,13.221963518298
A3,ARX,I,126,2,128,92418.7594212755,92558.5639087392,139.804487463756,624.49074759934,652.917718841691,28.426971242351
A3,ARX,I,126,3,129,92306.079513888,92511.5809228348,205.501408946759,634.330902843696,680.222807811438,45.8919049677417
A3,ARX,I,126,4,130,92188.4706417432,92456.1522435246,267.681601781369,646.0563020111,711.997526876385,65.9412248652847
A3,ARX,I,126,5,131,92065.4685824467,92391.1661585475,325.697576100822,659.775543664627,748.728617028238,88.9530733636113
A3,ARX,I,126,6,132,91936.5850182061,92315.378729978,378.793711771912,675.601541702481,790.968233116589,115.366691414108
A3,ARX,I,126,7,133,91801.3074371408,92227.3948758363,426.087438695584,693.651780052491,839.343627167885,145.691847115394
A3,ARX,I,126,8,134,91659.099551586,92125.6451390109,466.54558742496,714.048315176276,894.569672205095,180.521357028819
A3,ARX,I,126,9,135,91509.4023331004,92008.3560571582,498.95372405785,736.91749093573,957.465815526929,220.548324591199
A3,ARX,I,126,10,136,91351.6357694802,91873.5110139678,521.875244487543,762.389329179148,1028.97981098954,266.590481810393
A3,ARX,I,126,11,137,91185.2014521236,91718.7970000938,533.595547970195,790.596558788187,1110.22163393387,319.62507514568
A3,ARX,I,126,12,138,91009.4861014664,91541.5306777134,532.04457624699,821.673246364639,1202.51244523872,380.839198874084
A3,ARX,I,126,13,139,90823.866132711,91338.5542667434,514.688134032433,855.752993758829,1307.45553271666,451.702538957827
A3,ARX,I,126,14,140,90627.7133524424,91106.0876184413,478.374265998937,892.966671815253,1427.03914862216,534.072476806903
A3,ARX,I,133,1,134,91659.099551586,91736.8992930102,77.7997414241981,714.048315176276,739.232326678765,25.1840115024888
A3,ARX,I,133,2,135,91509.4023331004,91659.5463136581,150.143980557754,736.91749093573,791.053016014262,54.1355250785319
A3,ARX,I,133,3,136,91351.6357694802,91567.6989025331,216.063133052841,762.389329179148,849.802911381625,87.4135822024763
A3,ARX,I,133,4,137,91185.2014521236,91459.6498968722,274.448444748516,790.596558788187,916.235705277459,125.639146489272
A3,ARX,I,133,5,138,91009.4861014664,91333.5267243058,324.040622839399,821.673246364639,991.169412935621,169.496166570982
A3,ARX,I,133,6,139,90823.866132711,91187.2849217639,363.418789052957,855.752993758829,1075.48491462681,219.73192086798
A3,ARX,I,133,7,140,90627.7133524424,91018.7027115745,390.989359132145,892.966671815253,1170.12378318238,277.157111367128
A3,ARX,I,133,8,141,90420.4018577587,90825.3757494523,404.973891693662,933.439666610084,1276.0863167365,342.646650126412
A3,ARX,I,133,9,142,90201.3161821754,90604.7103218131,403.394139637705,977.288624621358,1394.43135727413,417.142732652774
A3,ARX,I,133,10,143,89969.8606960015,90353.9121373284,384.051441326912,1024.61769716695,1526.28032613374,501.662628966793
A3,ARX,I,133,11,144,89725.4702227734,90069.9664009424,344.496178169036,1075.51430238813,1672.82895089466,597.314648506523
A3,ARX,I,133,12,145,89467.6217778963,89749.6030517704,281.981273874058,1130.04444515616,1835.37139395244,705.326948796286
A3,ARX,I,133,13,146,89195.8472718432,89389.2388458379,193.391573994697,1188.24766136302,2015.34293825054,827.095276887522
A3,ARX,I,133,14,147,88909.7469499555,88984.8852669468,75.1383169913315,1250.1316825967,2214.38911109178,964.257428495079
A3,ARX,I,140,1,141,90420.4018577587,90508.0322409943,87.6303832356207,933.439666610084,973.806674593433,40.3670079833491
A3,ARX,I,140,2,142,90201.3161821754,90367.2992627453,165.983080569873,977.288624621358,1063.98881993152,86.7001953101581
A3,ARX,I,140,3,143,89969.8606960015,90203.5201552307,233.659459229209,1024.61769716695,1164.25709726779,139.639400100837
A3,ARX,I,140,4,144,89725.4702227734,90014.6349584043,289.164735630897,1075.51430238813,1275.33086827636,199.816565888227
A3,ARX,I,140,5,145,89467.6217778963,89798.550669053,330.928891156669,1130.04444515616,1397.87852728178,267.834082125626
A3,ARX,I,140,6,146,89195.8472718432,89553.1820460412,357.334774198025,1188.24766136302,1532.48698059531,344.239319232294
A3,ARX,I,140,7,147,88909.7469499555,89276.50037301,366.75342305447,1250.1316825967,1679.62764286975,429.49596027305
A3,ARX,I,140,8,148,88609.0032668766,88966.5893861565,357.586119279949,1315.66694925398,1839.62011075233,523.953161498349
A3,ARX,I,140,9,149,88293.394819721,88621.706889085,328.312069364096,1384.78113331364,2012.59515694594,627.814023632298
A3,ARX,I,140,10,150,87962.8098949406,88240.349857906,277.539962965442,1457.35386442311,2198.45913913712,741.105274714012
A3,ARX,I,140,11,151,87617.2591248926,87821.3201607427,204.0610358501,1533.21188236078,2396.86227469057,863.650392329791
A3,ARX,I,140,12,152,87256.8867071677,87363.7874625956,106.900755427865,1612.12486271027,2607.17342634197,995.048563631705
A3,ARX,I,140,13,153,86881.9796185851,86867.3455472399,14.63407134515,1693.80217791832,2828.46401599513,1134.66183807681
A3,ARX,I,140,14,154,86492.9742616448,86332.0582386239,160.916023020851,1777.89086002063,3059.50339183883,1281.6125318182
A3,ARX,I,147,1,148,88609.0032668766,88713.268504293,104.265237416388,1315.66694925398,1369.3722369093,53.7052876553162
A3,ARX,I,147,2,149,88293.394819721,88490.3467807118,196.951960990802,1384.78113331364,1498.28768774091,113.506554427263
A3,ARX,I,147,3,150,87962.8098949406,88239.8898346354,277.079939694857,1457.35386442311,1636.78598592627,179.432121503152
A3,ARX,I,147,4,151,87617.2591248926,87961.0544937508,343.795368858191,1533.21188236078,1784.56694592084,251.355063560066
A3,ARX,I,147,5,152,87256.8867071677,87653.3037578397,396.417050671997,1612.12486271027,1941.09586735263,328.971004642366
A3,ARX,I,147,6,153,86881.9796185851,87316.4624043862,434.482785801127,1693.80217791832,2105.58203035731,411.779852438988
A3,ARX,I,147,7,154,86492.9742616448,86950.7682713094,457.794009664663,1777.89086002063,2276.963747211,499.072887190369
A3,ARX,I,147,8,155,86090.4600182586,86556.9167212579,466.456702999349,1863.97502169493,2453.90140576816,589.926384073228
A3,ARX,I,147,9,156,85675.1792561427,86136.0959995698,460.916743427049,1951.57696697648,2634.77956521113,683.20259823465
