Model,ExoMode,HorizonIdx,NumPoints,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,RMSE,MedianPointForecastRMSE,MAE,MeanAbsoluteError,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
ARX,S,10,176,176,0.0089841859916046,0.0089841859916046,0.000296127084872287,0.0663846660400148,0.0674644181760614,0.0674644181760614,0.00960870760096235,0.00960870760096235,0.00106763417788471,0.00131971704855174,0.00499684870027304,0.00159998606489512,0.333806818181818,-0.453693181818182,0.573011363636364,0.02383230713247
ARX,S,11,176,176,0.0126092865641416,0.0126092865641416,0.000486664201415052,0.0857900576184528,0.0871717111595424,0.0871717111595424,0.0134251921637547,0.0134251921637547,0.00149168801819497,0.00162365233306815,0.00516244686130337,0.00433149935157512,0.328125,-0.459375,0.580965909090909,0.0284655567269494
ARX,S,12,176,176,0.0145554069552669,0.0145554069552669,0.000769885240749265,0.097237125083537,0.0988482126100108,0.0988482126100108,0.0155907898555171,0.0155907898555171,0.00173230998394634,0.00194604648825489,0.0053768456258799,0.00550020485718578,0.321022727272727,-0.466477272727273,0.586647727272728,0.0330719424231611
ARX,S,13,176,176,0.0149432347521129,0.0149432347521129,0.00114228086264418,0.0928248401115901,0.094775912977549,0.094775912977549,0.01620997468495,0.01620997468495,0.00180110829832778,0.00227223536241207,0.00567108993450471,0.00519880115686838,0.321022727272727,-0.466477272727273,0.587073863636364,0.0376298198450504
ARX,S,14,176,176,0.0156057293498375,0.0156057293498375,0.00164843453935249,0.0897159281725956,0.0920789182075954,0.0920789182075954,0.0171220549927475,0.0171220549927475,0.00190245055474973,0.00257859291444116,0.00609761967423831,0.00502706620640832,0.318181818181818,-0.469318181818182,0.589488636363637,0.0420802669097661
N4SID,Both,1,176,176,0.00103405105055753,0.00103405105055753,0.00044771828353521,0.00174263406610712,0.00334421723978946,0.00334421723978946,0.00170343693441567,0.00170343693441567,0.00018927077049063,0.000252375111176069,0.00028471908034352,0.000307686088547312,0.536931818181818,-0.250568181818182,0.431676136363636,0.00418534217851516
N4SID,Both,2,176,176,0.00992095939199725,0.00992095939199725,0.00123747646553161,0.0304188566509672,0.0334937570254676,0.0334937570254676,0.011451139218329,0.011451139218329,0.00127234880203655,0.000459959553490616,0.00374151007461779,0.0044471409618523,0.394886363636364,-0.392613636363636,0.520738636363636,0.00774417203930425
N4SID,Both,3,176,176,0.0210031351838198,0.0210031351838198,0.00211750071825952,0.0657281899501973,0.0719249641245053,0.0719249641245053,0.0235591833086621,0.0235591833086621,0.00261768703429579,0.000722054960363584,0.00888141625349021,0.00878197693567022,0.362215909090909,-0.425284090909091,0.541051136363637,0.0119750790738178
N4SID,Both,4,176,176,0.0350266497194124,0.0350266497194124,0.00330530907740157,0.114221875089234,0.126055790713973,0.126055790713973,0.0390405153635959,0.0390405153635959,0.00433783504039954,0.0010847530747461,0.0162116781184498,0.013392383485817,0.322443181818182,-0.465056818181818,0.565909090909091,0.0177737026169501
N4SID,Both,5,176,176,0.0538510065938199,0.0538510065938199,0.00473724157660307,0.190424105691747,0.217360912155438,0.217360912155438,0.0604215350642012,0.0604215350642012,0.00671350389602236,0.00171649624500387,0.0270545355394161,0.0183664709133776,0.311079545454545,-0.476420454545455,0.576704545454546,0.0274353245346236
