na,nb,nk,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
1,1,6,0.0316596278582649,0.0301467434259447,0.0995930060311671+0i,0.101402860209564+0i,0.0657005593812351+0i,53
1,2,5,0.0312613792521976,0.0303095168835039,0.100999098561815+0i,0.100279262544237+0i,0.0657123143104384+0i,54
1,5,5,0.0351479187014893,0.0306193859921625,0.10268883867266+0i,0.0972705672140246+0i,0.0664316776450841+0i,55
1,1,5,0.0313778563674892,0.0301550415758173,0.101768594294334+0i,0.103077693124977+0i,0.0665947963406543+0i,56
1,3,4,0.0320355453957126,0.0304540085610954,0.104873407933051+0i,0.101282832779096+0i,0.0671614486672387+0i,57
1,2,4,0.0314419725921437,0.0303265769372332,0.104409028390641+0i,0.102771778297822+0i,0.0672373390544602+0i,58
1,1,4,0.0313715789645716,0.0301658430510738,0.104822511068319+0i,0.105425109788817+0i,0.0679462607181952+0i,59
1,4,4,0.0343305214356656,0.0305588139620364,0.106935988943353+0i,0.101258758093928+0i,0.0682710206087459+0i,60
1,2,3,0.0319344247127605,0.0303469788181531,0.1100371586356+0i,0.106937204800882+0i,0.0698139417418487+0i,61
1,1,3,0.0315572307632818,0.0301795301181821,0.109349379003013+0i,0.108947257277434+0i,0.0700083492904777+0i,62
1,3,3,0.0335649410332048,0.0304790230005351,0.11256282587698+0i,0.106860622957106+0i,0.0708668532169563+0i,63
1,1,2,0.0319098338475677,0.0301965363799609,0.116625515363055+0i,0.114647556043745+0i,0.0733448604085823+0i,64
1,2,2,0.0328883036790644,0.0303713779379176,0.119663718839339+0i,0.11423489450424+0i,0.0742895737401402+0i,65
1,1,1,0.0326255418770886,0.0302173866662066,0.128378354864445+0i,0.123767787558997+0i,0.0787472677416844+0i,66
4,2,1,0.00212299443305167,0.0453719465433737,0.374971800637775+0i,0.0206678746877673+0i,0.110783654075492+0i,67
0,1,1,0.100390872551458,0.127410977864251,0.156886882089654+0i,0.155176863845943+0i,0.134966399087827+0i,68
0,2,1,0.146273472440507,0.094094991498554,0.41415251963485+0i,0.283613515415219+0i,0.234533624747283+0i,69
4,2,2,0.00210816522419339,0.0456810426171225,0.565531978098791+0i,0.440573346554682+0i,0.263473633123697+0i,70
0,3,1,0.114900912196664,0.0947145811060478,0.644081234182908+0i,0.348892369887343+0i,0.300647274343241+0i,71
4,3,3,0.00210571506943055,0.0461748388633179,3.04027198840141+0i,4.69839639200521+0i,1.94673723358484+0i,72
4,5,4,0.00211839520603233,0.0468110854517844,14.4338072292718+0i,46.5596613116303+0i,15.26059950539+0i,73
4,6,5,0.00209974748162846,0.0476943388849971,54.4892460934649+0i,297.75542042334+0i,88.0736151507929+0i,74
4,7,6,0.00205732734808029,0.0487106561548407,243.741191470756+0i,1183.56294117925+0i,356.838725158377+0i,75
1,3,2,0.0337687991069815,0.0331512516285684,119455.416164072+0i,77420.6200616476+0i,49219.0257864425+0i,76
1,2,1,0.0328411573069875,0.0331294089620838,212157.698511581+0i,26.2610530002134+0i,53046.006383787+0i,77
2,4,3,0.0632127743097118,0.0332187724818338,216237.846349715+0i,2.21123853066617+0i,54060.038504948+0i,78
2,3,2,0.107690959567499,0.0325201016741632,218011.792127959+0i,0.517757364752312+0i,54503.1125240962+0i,79
2,5,4,0.0656313083646035,0.0341425837527825,267850.218087762+0i,7.89866881342059+0i,66964.5541326169+0i,80
1,4,3,0.0349828572473663,0.0331982622146637,75420.5424875024+0i,669270.026577123+0i,186172.659311436+0i,81
2,6,5,0.0693831825632461,0.0352804327203849,1122355.60524178+0i,30.136278413271+0i,280596.461545952+0i,82
1,5,4,0.0363698566694526,0.0332617056779375,57279.5257507717+0i,5676986.03606373+0i,1433566.40786152+0i,83
2,7,6,0.00504202856281727,0.0365996861770624,9252873.01788442+0i,137.901018164706+0i,2313252.74013607+0i,84
8,1,3,0.00391812275418286,18323751.4559589,0.00800720956425099+0i,0.00859276384974701+0i,4580937.86911926+0i,85
1,6,5,0.0378660517008642,0.0333319150771136,58079.9757384431+0i,62071644.0084081+0i,15532431.0138361+0i,86
0,1,2,0.111592494999224,0.433500869341008,57.5537986814725+0i,366494945.480776+0i,91623750.8949169+0i,87
1,7,6,0.0394579009201589,0.0334035317706682,93105.0193488639+0i,1006786888.77632+0i,251719998.467134+0i,88
8,1,6,0.00391535125645248,1064328903.91257,0.00846750669119334+0i,0.00856453069056196+0i,266082225.98338+0i,89
8,1,7,0.00397625409557968,3698618731.94258,0.00840016251764531+0i,0.0085536132087106+0i,924654682.990878+0i,90
8,1,2,0.00477472547794323,5844661673.85534,0.00745302228029466+0i,0.00859642771040598+0i,1461165418.46904+0i,91
8,1,4,0.00388741316641505,8114915149.20568,0.00834087773764187+0i,0.00858510778149838+0i,2028728787.30662+0i,92
8,2,1,0.00461931508229043,11778096590.5508,0.0257336072432441+0i,0.00995092389206367+0i,2944524147.64777+0i,93
8,1,5,0.00390774738038096,26680476814.1693,0.00846734644568482+0i,0.00857529107344202+0i,6670119203.54756+0i,94
8,1,1,0.00392915886968088,27951271208.9499,0.00708546624620109+0i,0.00860010928382064+0i,6987817802.24237+0i,95
2,2,1,0.104916712793364,48246367104.2747,180584.610013995+0i,0.060900377346019+0i,12061636922.2626+0i,96
9,1,4,0.00196670739200031,474458291805.08,0.012801945198017+0i,0.0096111176812947+0i,118614572951.276+0i,97
8,2,2,0.00443225781950584,601859183554.103,137.062877490727+0i,0.0908602552519986+0i,150464795922.815+0i,98
8,2,7,0.00438561860165945,602180478666.691,23540729094.5752+0i,1.79064060473228+0i,156430301940.765+0i,99
8,2,5,0.00433298842699018,1120589673829.45,762491384.954768+0i,1.41187873988197+0i,280338041303.954+0i,100
6,1,3,0.00889873260322318,1468394379488.71,0.00956331208184367+0i,0.00817022150678587+0i,367098594872.183+0i,101
8,2,3,0.00439025874391683,1753580930197.98,187360.710314619+0i,0.360295630696189+0i,438395279389.764+0i,102
