StrategyID,StrategyName,OrderTreatment,ParameterTreatment,Model,ExoMode,HorizonIdx,NumPoints,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,RMSE,MedianPointForecastRMSE,MAE,MeanAbsoluteError,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,4,27,27,0.0567744952948922,0.0567744952948922,0.0294986414200153,0.0951940906868239,0.174800675973224,0.174800675973224,0.0985371328501747,0.0985371328501747,0.0109485703166861,0.022334817618995,0.0143664852416245,0.00912462211758656,0.796296296296296,0.00879629629629627,0.286574074074074,0.360190635376918
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,5,27,27,0.0589476621803234,0.0589476621803234,0.0328072387399714,0.0795454972255985,0.169898121961819,0.169898121961819,0.10401646074118,0.10401646074118,0.0115573845267978,0.0251719936581372,0.0113321265220272,0.0108861574733613,0.824074074074074,0.036574074074074,0.270833333333333,0.421376933853381
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,6,27,27,0.142829001808984,0.142829001808984,0.037791097921932,0.339920763114431,0.420848914820077,0.420848914820077,0.200101768699278,0.200101768699278,0.0222335298554753,0.0273883706462811,0.0319253267237957,0.0612817745834322,0.759259259259259,-0.0282407407407407,0.29212962962963,0.458254327333891
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,7,27,27,0.13616449336229,0.13616449336229,0.0369550256082096,0.3255129347092,0.40373541157444,0.40373541157444,0.188096566421032,0.188096566421032,0.0208996184912257,0.0285948613777037,0.0308613616986959,0.055808651794665,0.805555555555556,0.0180555555555555,0.279166666666667,0.474564286462929
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,8,27,27,0.118633047555484,0.118633047555484,0.0401018785802893,0.274426005450877,0.353544725541489,0.353544725541489,0.165906793034574,0.165906793034574,0.0184340881149527,0.0293740102650998,0.0293806212163626,0.0414443279590689,0.814814814814815,0.0273148148148148,0.273611111111111,0.477975642175783
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,9,27,27,0.0956256247907744,0.0956256247907744,0.0373265285072958,0.200031600177133,0.273076385614859,0.273076385614859,0.133564879160572,0.133564879160572,0.0148405421289525,0.0301919544966662,0.0270670892265409,0.0235260389386148,0.833333333333333,0.0458333333333333,0.279166666666667,0.496296835869877
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,10,27,27,0.0821520511307267,0.0821520511307267,0.0374339734062482,0.147601776966224,0.227635155930505,0.227635155930505,0.127056181929017,0.127056181929017,0.0141173535476686,0.0305698966237188,0.023233950708816,0.0142308502505233,0.824074074074074,0.036574074074074,0.284722222222222,0.500258295151316
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,11,27,27,0.0757706157868802,0.0757706157868802,0.0405453047076024,0.118703048001724,0.204261518770858,0.204261518770858,0.123762549777337,0.123762549777337,0.0137513944197041,0.0315059072269028,0.0191539976807792,0.0113593164594941,0.824074074074074,0.036574074074074,0.279166666666667,0.515068184966069
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,12,27,27,0.0726669650163305,0.0726669650163305,0.0403705441344214,0.0999895782671181,0.18851688013214,0.18851688013214,0.119831837328117,0.119831837328117,0.013314648592013,0.0313264548858658,0.015613765776285,0.0124120957621667,0.861111111111111,0.0736111111111111,0.263425925925926,0.5049542271982
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,13,27,27,0.143883887407979,0.143883887407979,0.0430211854962211,0.298532652110288,0.398283290935115,0.398283290935115,0.210945905862017,0.210945905862017,0.0234384339846685,0.0312935085884605,0.028046423795509,0.0611055210393413,0.740740740740741,-0.0467592592592593,0.320833333333333,0.503391525685618
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,14,27,27,0.132984638209341,0.132984638209341,0.041158828114513,0.279426954670283,0.380156802391183,0.380156802391183,0.19654571698196,0.19654571698196,0.0218384129979955,0.0316119352398016,0.0248655304589836,0.0546687595125599,0.768518518518518,-0.0189814814814815,0.300462962962963,0.503012203727082
