Model,ExoMode,Strategy,ForecastConfiguration,OriginPosition,OriginDate,LeadTime,TargetDate,TargetRtEstimated,MedianForecast,Error,AbsoluteError,SquaredError,WIS,MeanCoverage,MeanIntervalWidth
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",4,"18-Jan-2021",0.254907551360874,0.839559470050157,0.584651918689283,0.584651918689283,0.34181786602706,0.265794665424563,0,1.05832357051806
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",5,"19-Jan-2021",0.470996552827041,0.875886654450858,0.404890101623817,0.404890101623817,0.163935994392945,0.150767309507821,0.75,1.05213563962305
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",6,"20-Jan-2021",1.20488358595562,0.932903589651376,-0.271979996304239,0.271979996304239,0.0739731183896539,0.143324970216287,1,1.57794232441196
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",7,"21-Jan-2021",1.40229463158572,0.864145183271214,-0.538149448314503,0.538149448314503,0.289604828721204,0.193617282162659,0.75,1.40162857075646
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",8,"22-Jan-2021",1.21277438215447,1.0839743868495,-0.12879999530497,0.12879999530497,0.0165894387905603,0.127286380925564,1,1.65836487850684
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",9,"23-Jan-2021",1.03717573535475,1.06245818641453,0.0252824510597789,0.0252824510597789,0.000639202331590115,0.132117564447095,1,1.75094501959854
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",10,"24-Jan-2021",0.63532857797813,1.10273299173782,0.467404413759693,0.467404413759693,0.218466886002042,0.173171335025485,0.75,1.36428532000285
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",11,"25-Jan-2021",0.305758820413865,0.948712159469363,0.642953339055499,0.642953339055499,0.413388996202615,0.337033479382648,0,1.30728722853083
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",12,"26-Jan-2021",0.528597767370158,0.918579090224561,0.389981322854403,0.389981322854403,0.15208543217527,0.163070509348973,0.5,1.11846763236775
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",13,"27-Jan-2021",1.30003657355891,1.0537048241978,-0.246331749361111,0.246331749361111,0.0606793307433053,0.122114657298397,0.75,1.45733061501048
"ARX","I","partA_online_fit","[4 1 1]",3,"14-Jan-2021",14,"28-Jan-2021",1.38384591568351,0.928826960005584,-0.455018955677929,0.455018955677929,0.207042250026233,0.15938032556067,0.75,1.32726954220014
"ARX","I","partA_online_fit","[4 1 1]",4,"21-Jan-2021",1,"22-Jan-2021",1.21277438215447,1.53200609105424,0.31923170889977,0.31923170889977,0.101908883967068,0.138424008758315,1,1.45948841567418
"ARX","I","partA_online_fit","[4 1 1]",4,"21-Jan-2021",2,"23-Jan-2021",1.03717573535475,1.10237260738226,0.0651968720275133,0.0651968720275133,0.00425063212217195,0.112799263799201,1,1.46265693405099
