date,t,I_observed,I_smoothed,Lambda_t,Rt_est,Rt_model_input,Rt_evaluation_proxy
2021-09-27,575,6,615.714285714286,732.099202797503,0.841025756293019,0.841025756293019,0.841025756293019
2021-09-28,576,1069,600,690.489516985522,0.868948746129307,0.868948746129307,0.868948746129307
2021-09-29,577,845,593.428571428571,659.929775571005,0.899229877777688,0.899229877777688,0.899229877777688
2021-09-30,578,854,609.142857142857,638.9073054886,0.953413510707972,0.953413510707972,0.953413510707972
2021-10-01,579,768,608.714285714286,624.181238171771,0.975220414341853,0.975220414341853,0.975220414341853
2021-10-02,580,700,606.142857142857,614.383889614542,0.986586509491883,0.986586509491883,0.986586509491883
2021-10-03,581,2,606.285714285714,609.137475616882,0.995318361707627,0.995318361707627,0.995318361707627
2021-10-04,582,0,605.428571428571,607.050083135524,0.99732886667509,0.99732886667509,0.99732886667509
2021-10-05,583,1194,623.285714285714,606.452704537558,1.02775650866458,1.02775650866458,1.02775650866458
2021-10-06,584,738,608,606.402604397904,1.00263421626245,1.00263421626245,1.00263421626245
2021-10-07,585,843,606.428571428571,607.376590995421,0.998439156890626,0.998439156890626,0.998439156890626
2021-10-08,586,741,602.571428571429,609.06508270325,0.989338324727137,0.989338324727137,0.989338324727137
2021-10-09,587,600,588.285714285714,610.043441170363,0.964334135216819,0.964334135216819,0.964334135216819
2021-10-10,588,16,590.285714285714,609.553054530096,0.968391036512425,0.968391036512425,0.968391036512425
2021-10-11,589,9,591.571428571429,607.146350918005,0.974347334340349,0.974347334340349,0.974347334340349
2021-10-12,590,1123,581.428571428571,603.205136773655,0.963898574435955,0.963898574435955,0.963898574435955
2021-10-13,591,906,605.428571428571,599.027437263535,1.01068587808645,1.01068587808645,1.01068587808645
2021-10-14,592,797,598.857142857143,595.265563322212,1.00603357519102,1.00603357519102,1.00603357519102
2021-10-15,593,669,588.571428571429,593.122383006306,0.992327124105804,0.992327124105804,0.992327124105804
2021-10-16,594,565,583.571428571429,593.227571618928,0.983722700175335,0.983722700175335,0.983722700175335
2021-10-17,595,14,583.285714285714,593.942929051573,0.982056837038406,0.982056837038406,0.982056837038406
2021-10-18,596,0,582,593.473382287445,0.98066740206069,0.98066740206069,0.98066740206069
2021-10-19,597,1078,575.571428571429,591.587828184191,0.972926421319514,0.972926421319514,0.972926421319514
2021-10-20,598,820,563.285714285714,589.023565455236,0.956304208050438,0.956304208050438,0.956304208050438
2021-10-21,599,788,562,586.116524523006,0.958853703122203,0.958853703122203,0.958853703122203
2021-10-22,600,778,577.571428571429,582.36302166045,0.991772154290703,0.991772154290703,0.991772154290703
2021-10-23,601,894,624.571428571429,577.742659292333,1.08105471965054,1.08105471965054,1.08105471965054
2021-10-24,602,526,697.714285714286,574.254819081856,1.21499073674266,1.21499073674266,1.21499073674266
2021-10-25,603,319,743.285714285714,576.419102055561,1.28948834560668,1.28948834560668,1.28948834560668
2021-10-26,604,539,666.285714285714,589.83810520101,1.12960778289943,1.12960778289943,1.12960778289943
2021-10-27,605,1263,729.571428571429,615.732695641748,1.18488336535553,1.18488336535553,1.18488336535553
2021-10-28,606,891,744.285714285714,644.442899511542,1.15492887709656,1.15492887709656,1.15492887709656
2021-10-29,607,1082,787.714285714286,668.145440314668,1.17895631427688,1.17895631427688,1.17895631427688
2021-10-30,608,978,799.714285714286,688.149177960896,1.16212343388097,1.16212343388097,1.16212343388097
2021-10-31,609,861,847.571428571429,708.415634682765,1.19643241492119,1.19643241492119,1.19643241492119
2021-11-01,610,302,845.142857142857,730.773999177361,1.15650373178882,1.15650373178882,1.15650373178882
2021-11-02,611,632,858.428571428571,755.522104859851,1.13620576539956,1.13620576539956,1.13620576539956
2021-11-03,612,1163,844.142857142857,781.076175395503,1.08074331766094,1.08074331766094,1.08074331766094
2021-11-04,613,837,836.428571428571,804.355526979472,1.03987421404256,1.03987421404256,1.03987421404256
2021-11-05,614,826,799.857142857143,822.419740696834,0.972565593062524,0.972565593062524,0.972565593062524
2021-11-06,615,731,764.571428571429,833.291155908767,0.917532153257531,0.917532153257531,0.917532153257531
2021-11-07,616,597,726.857142857143,835.490727443097,0.869976313299835,0.869976313299835,0.869976313299835
2021-11-08,617,278,723.428571428571,827.944668546901,0.873764393819018,0.873764393819018,0.873764393819018
2021-11-09,618,502,704.857142857143,811.247579883264,0.868855772683562,0.868855772683562,0.868855772683562
2021-11-10,619,1321,727.428571428571,789.121987897767,0.921820178102567,0.921820178102567,0.921820178102567
2021-11-11,620,1020,753.571428571429,766.370586572269,0.983298996301402,0.983298996301402,0.983298996301402
2021-11-12,621,928,768.142857142857,747.767652794091,1.02724804191868,1.02724804191868,1.02724804191868
2021-11-13,622,913,794.142857142857,737.582020344968,1.07668413171383,1.07668413171383,1.07668413171383
2021-11-14,623,830,827.428571428571,736.985811032471,1.12271981229787,1.12271981229787,1.12271981229787
2021-11-15,624,311,832.142857142857,744.636861479343,1.11751499313326,1.11751499313326,1.11751499313326
2021-11-16,625,575,842.571428571429,758.937790412948,1.11019827871923,1.11019827871923,1.11019827871923
2021-11-17,626,1298,839.285714285714,777.138047118096,1.07996991962764,1.07996991962764,1.07996991962764
